,AAPL,MSFT,AMZN,TSLA,AAPL_returns,MSFT_returns,AMZN_returns,TSLA_returns
2020-09-03,120.671577442,216.725023625,3368.0,407.0,-8.006088279941595,-6.194690265475235,-4.628410426312133,-9.023850504057046
2020-09-02,131.173438748,231.037053487,3531.45,447.37,-2.0718437919411135,1.9272231264933843,0.9239465922860584,-5.8267550784128
2020-09-01,133.948645443,226.668642979,3499.12,475.05,3.9832610040715553,0.7715159848390674,1.395553700999138,-4.6696901589340145
2020-08-31,128.817507885,224.933247023,3450.96,498.32,3.391222482358917,-1.4765628412685505,1.4451172908460184,12.568898527152793
2020-08-28,124.592305606,228.304303534,3401.8,442.68,-0.16198704072735198,1.0283343632140813,0.052941176470593584,-1.1323283082077036
2020-08-27,124.794456453,225.98046872,3400.0,447.75,-1.1954395465520182,2.455347049225458,-1.2159158592036234,3.974604884890646
2020-08-26,126.304348585,220.564836515,3441.85,430.634,1.3599038655877587,2.1619623968166817,2.849552815039045,6.416618067156287
2020-08-25,124.609775432,215.897219807,3346.49,404.668,-0.8203722466091135,1.300949973956965,1.1800596227921047,0.4537781749578074
2020-08-24,125.640495185,213.124575695,3307.46,402.84,1.196027981044052,0.3145244581616675,0.6922964514479236,-1.7453828817842139
2020-08-21,124.155559948,212.456348516,3284.72,409.996,5.153244557720297,-0.7270015845510818,-0.38363908205630826,2.405299151276581
2020-08-20,118.07106901,214.012220752,3297.37,400.366,2.2189572839208256,2.3271340009133756,1.1314285013249543,6.563642848397408
2020-08-19,115.507995921,209.145133245,3260.48,375.706,0.1254732292177222,-0.6052295618132527,-1.5701179475258724,-0.4536084659449176
2020-08-18,115.363245931,210.418649113,3312.49,377.418,0.833278799354424,0.5754232453379822,4.0874683023243366,2.8028371576126094
2020-08-17,114.409892552,209.214778644,3182.41,367.128,-0.2610795641118881,0.6606031594614159,1.0924327037312302,11.203058078039144
2020-08-14,114.709375289,207.841769349,3148.02,330.142,-0.08912268547992853,0.09583133668746181,-0.4112596566930927,1.832819247378164
2020-08-13,114.811698558,207.642782495,3161.02,324.2,1.7697548897306743,-0.23423681814968458,-0.03858024691357392,4.260464637628956
2020-08-12,112.815146978,208.130300288,3162.24,310.952,3.323428571386041,2.8567214080340686,2.647800640769693,13.12364030588116
2020-08-11,109.186414483,202.34973217,3080.67,274.878,-2.9739859399789683,-2.3385354141754893,-2.1437919292539065,-3.114403941997932
2020-08-10,112.533134068,207.195062073,3148.16,283.714,1.4534818313446864,-1.9907756023550025,-0.6093210332569371,-2.3500905204755167
2020-08-07,110.920918668,211.403634042,3167.46,290.542,-2.2694848658451314,-1.788768199531163,-1.784186046511627,-2.475194350085267
2020-08-06,113.496709309,215.254029673,3225.0,297.916,3.4889267456395547,1.6013900627604278,0.6230830912659101,0.3070665714939791
2020-08-05,109.670389749,211.861303807,3205.03,297.004,0.3624675149215384,-0.16409583192796645,2.109066116992646,-0.13315400134497588
2020-08-04,109.274305888,212.209530802,3138.83,297.4,0.6678141135985093,-1.500877436090054,0.8657118342872034,0.13468013468012704
2020-08-03,108.54939769,215.443067185,3111.89,297.0,2.5197628459944563,5.624115896668415,-1.6680991443052684,3.790992199949682
2020-07-31,105.88143659,203.971475033,3164.68,286.152,10.468863706984944,0.544384502433695,3.6960824147738354,-3.8138071516447187
2020-07-30,95.8473121176,202.867097991,3051.88,297.498,1.2100168350157905,-0.0784083110520176,0.6049058357754796,-0.7751265751012308
2020-07-29,94.7014091242,203.026287474,3033.53,299.822,1.9168386906524286,1.009801009712052,1.1065449467225363,1.5320117305230652
2020-07-28,92.9202772975,200.99662156,3000.33,295.298,-1.6427592025958226,-0.8977189108999479,-1.7962758697438181,-4.099116653676284
2020-07-27,94.4722285255,202.817351277,3055.21,307.92,2.3700264535792783,1.2667660204993947,1.5387632066097086,8.652081863091052
2020-07-24,92.2850484642,200.280268885,3008.91,283.4,-0.2477247024824459,-0.6122247457995627,0.7486899599872653,-6.3493427270384055
2020-07-23,92.5142290629,201.513987382,2986.55,302.614,,,,
