,index,Company,Price,Adj Close,low Price,High Price,Volume,returns
95,2020-07-29,AAPL,94.7014091242,94.7014091242,374.85,380.92,22582314,1.9168386906524286
96,2020-07-28,AAPL,92.9202772975,92.9202772975,372.99,378.1986,25906375,-1.642759202595808
97,2020-07-27,AAPL,94.47222852549999,94.47222852549999,373.92,379.62,30303548,2.3700264535792632
98,2020-07-24,AAPL,92.2850484642,92.2850484642,356.58,371.88,46359716,-0.2477247024824612
99,2020-07-23,AAPL,92.51422906290001,92.51422906290001,368.039,388.31,49251108,-56.619042922770326
100,2020-12-11,MSFT,213.26,213.26,209.11,213.32,30979440,1.3015390461713758
101,2020-12-10,MSFT,210.52,210.52,210.36,213.08,26467017,-0.6043437204910298
102,2020-12-09,MSFT,211.8,211.8,211.21400000000003,215.225,32440603,-1.9489838433405768
103,2020-12-08,MSFT,216.01,216.01,212.89,216.95,23284094,0.8026506136543932
104,2020-12-07,MSFT,214.29,214.29,212.99,215.54,24619997,-0.032655346146679226
105,2020-12-04,MSFT,214.36,214.36,213.18,215.38,24666039,0.056011949215834834
106,2020-12-03,MSFT,214.24,214.24,213.65,216.3757,25120922,-0.5246784603240913
107,2020-12-02,MSFT,215.37,215.37,212.8,215.47,23724509,-0.38851116969613037
108,2020-12-01,MSFT,216.21,216.21,213.35,217.32,30498026,0.9996730041575255
109,2020-11-30,MSFT,214.07,214.07,210.835,214.76,33064753,-0.5389583236537642
110,2020-11-27,MSFT,215.23,215.23,214.04,216.27,14512213,0.6359003132744121
111,2020-11-25,MSFT,213.87,213.87,212.46,215.29,21012887,0.004675956233045405
112,2020-11-24,MSFT,213.86,213.86,208.86,214.25,33830438,1.7847794012660032
113,2020-11-23,MSFT,210.11,210.11,208.16,212.29,25683507,-0.133086173297197
114,2020-11-20,MSFT,210.39,210.39,210.0,213.285,22843119,-0.9556538932303932
115,2020-11-19,MSFT,212.42,212.42,209.93,213.03,24792746,0.6348303960583547
116,2020-11-18,MSFT,211.08,211.08,210.93,215.17,28372789,-1.3149305233875026
117,2020-11-17,MSFT,213.89253827299999,213.89253827299999,214.08,217.68,24154112,-1.275146158141296
118,2020-11-16,MSFT,216.655208845,216.655208845,214.52,217.74,24953344,0.3325481501571466
119,2020-11-13,MSFT,215.93711396700002,215.93711396700002,214.16,217.42,18630307,0.4966580021493262
120,2020-11-12,MSFT,214.86994519,214.86994519,214.46,219.11,21616115,-0.5125836988856766
121,2020-11-11,MSFT,215.977008127,215.977008127,212.2,218.04,29440788,2.6254679871329234
122,2020-11-10,MSFT,210.451666982,210.451666982,209.72,216.5,44045120,-3.3792756076427426
123,2020-11-09,MSFT,217.81213948200002,217.81213948200002,217.88,228.12,44394950,-2.3824423386842115
124,2020-11-06,MSFT,223.128036288,223.128036288,218.03,224.36,25231895,0.19257467873101272
125,2020-11-05,MSFT,222.699174069,222.699174069,221.15,224.12,36080137,3.188687092874848
126,2020-11-04,MSFT,215.81743148700002,215.81743148700002,212.4185,218.32,42311777,4.824880104317251
127,2020-11-03,MSFT,205.88378567400002,205.88378567400002,203.12,208.12,27512030,2.026392526981071
128,2020-11-02,MSFT,201.794634285,201.794634285,200.12,205.28,30842163,-0.06914604601618349
129,2020-10-30,MSFT,201.93426384400001,201.93426384400001,199.62,204.29,36980111,-1.099062133624842
130,2020-10-29,MSFT,204.178310338,204.178310338,203.37,207.36,31432563,1.0065127291263432
131,2020-10-28,MSFT,202.14370818400002,202.14370818400002,202.1,208.84,51195593,-4.95662368110443
132,2020-10-27,MSFT,212.68573993599998,212.68573993599998,210.329,214.67,36700325,1.5089489720062608
133,2020-10-26,MSFT,209.524127764,209.524127764,208.1,216.3399,37111561,-2.8441936827773606
134,2020-10-23,MSFT,215.657854848,215.657854848,213.16,216.28,18879608,0.6235748525057486
135,2020-10-22,MSFT,214.321400491,214.321400491,211.7,216.055,22351450,0.04189944098508352
136,2020-10-21,MSFT,214.231638632,214.231638632,213.12,216.92,22724906,0.06988120214207179
137,2020-10-20,MSFT,214.08203553200002,214.08203553200002,213.0901,217.37,22753511,0.20072822338648094
138,2020-10-19,MSFT,213.653173313,213.653173313,213.72,222.3,27625841,-2.476554675584924
139,2020-10-16,MSFT,219.07877905900003,219.07877905900003,219.32,222.29,26057882,0.0
140,2020-10-15,MSFT,219.07877905900003,219.07877905900003,216.01,220.36,22733064,-0.5433306167587875
141,2020-10-14,MSFT,220.27560385599998,220.27560385599998,219.13,224.22,23451713,-0.8974243916777218
142,2020-10-13,MSFT,222.27031185,222.27031185,220.43,225.21,28950843,0.6594399276711573
143,2020-10-12,MSFT,220.81417501400003,220.81417501400003,216.81,223.86,40461368,2.5902414159629963
144,2020-10-09,MSFT,215.238966169,215.238966169,211.23,215.86,26458047,2.4836166776680266
145,2020-10-08,MSFT,210.02280476299998,210.02280476299998,208.32,211.19,19925837,0.35743220701695566
146,2020-10-07,MSFT,209.274789265,209.274789265,206.72,210.11,25681054,1.9037443545123711
147,2020-10-06,MSFT,205.365161595,205.365161595,204.82,210.18,28554261,-2.1247266849673365
148,2020-10-05,MSFT,209.82333396299998,209.82333396299998,206.98,210.41,21331561,2.032106309760672
149,2020-10-02,MSFT,205.644420714,205.644420714,205.54,210.99,33154781,-2.951143744981155
150,2020-10-01,MSFT,211.897830278,211.897830278,211.32,213.99,27158418,1.0126943377751176
151,2020-09-30,MSFT,209.773466263,209.773466263,206.54,211.98,33829088,1.4812313032494415
152,2020-09-29,MSFT,206.711589492,206.711589492,206.81,210.07,24464472,-1.0408708937002378
153,2020-09-28,MSFT,208.88582120599997,208.88582120599997,208.06,212.57,32004936,0.7795207392397719
154,2020-09-25,MSFT,207.27010773,207.27010773,202.54,209.04,29437312,2.278655445769899
155,2020-09-24,MSFT,202.652358722,202.652358722,199.2,205.57,31202493,1.296176279915438
156,2020-09-23,MSFT,200.059238329,200.059238329,200.03,208.1,30803780,-3.292835792150159
157,2020-09-22,MSFT,206.871166131,206.871166131,202.075,208.1,33517065,2.409400612182354
158,2020-09-21,MSFT,202.00407862400002,202.00407862400002,196.38,202.71,39839657,1.0729078295751266
159,2020-09-18,MSFT,199.85976753,199.85976753,196.25,203.65,55225326,-1.2419299195053337
160,2020-09-17,MSFT,202.373099603,202.373099603,199.96,204.33,34011257,-1.0436478905955313
161,2020-09-16,MSFT,204.507437157,204.507437157,204.64,210.65,26372464,-1.7865695952026708
162,2020-09-15,MSFT,208.22756756799998,208.22756756799998,206.93,209.78,21823942,1.6406211970826274
